id,title,description,return_window_days,refund_percentage,conditions,process_steps,is_active
1,Standard Store Policy,"ShopZone's standard policy for most products. 30 days to return unused items in original condition.",30,100.00,"Items must be unused with tags/packaging. No returns on personalized, hygiene, or perishable goods.","1. Login → My Orders → Return Request 2. Select items & reason 3. Get free return label 4. Ship back 5. Refund in 5-7 days",True
2,Electronics Strict Policy,"Electronics require all accessories and original box. Strict inspection for damage/misuse.",7,100.00,"Must include charger, cables, manuals, box. No scratches, liquid damage, or account locks.","1. My Orders → Return Electronics 2. Upload unboxing photos 3. Approval within 24hrs 4. Free pickup 5. Full inspection required",True
3,Fashion Extended Policy,"Generous 45 days for apparel. Perfect for sizing/fit issues common in clothing.",45,100.00,"Unworn, unwashed, tags attached. No perfume stains. Intimates/swimwear non-returnable unless defective.","1. My Orders → Fashion Return 2. Size exchange option 3. Free return shipping 4. Quick 3-day processing",True
4,Home & Kitchen Fragile,"Fragile items like glassware get shorter window due to breakage risk during shipping.",14,90.00,"No cracks/chips. Original packaging critical. Restocking fee for damaged returns.","1. Check packaging guide 2. Use bubble wrap 3. Schedule fragile pickup 4. Inspection for breakage",True
5,Sports Gear Active,"Gear tested during workouts? Partial refund based on usage condition.",21,80.00,"Light use OK, heavy wear gets partial credit. Must clean before return.","1. My Orders → Sports Return 2. Upload usage photos 3. Condition assessment 4. Partial/full refund based on inspection",True
6,Defective/Damaged Only,"Change of mind returns not accepted - only defective/wrong item returns.",7,100.00,"Damaged, defective, or wrong item only. Change of mind = restocking fee.","1. Photo evidence required 2. Same-day approval 3. Free return shipping 4. Priority processing",True
7,Quick 3-Day Express,"VIP customers or urgent needs - fastest return processing.",3,100.00,"Express approval within 4 hours. Same-day pickup available in major cities.","1. Priority Return Request 2. 4hr approval 3. Same-day pickup 4. 48hr refund processing",True
8,Bulk/Corporate Orders,"Special policy for businesses buying 5+ items. Simplified bulk returns.",14,95.00,"Minimum 5 items. Commercial invoice required. Bulk pickup scheduling.","1. Corporate Return Portal 2. Bulk item selection 3. Single return label 4. Account credit option",True
9,Seasonal/Holiday Extended,"Extended window during festive seasons when delivery delays happen.",60,100.00,"Applies Nov-Dec orders. Regular policy after Jan 15. Great for gifts.","1. Holiday Return Window visible 2. Standard process 3. Gift return without receipt OK",True
10,Gift Returns Easy,"No receipt needed. Return gifts within policy window with gift wrapper tag.",30,100.00,"Gift tag/receipt not mandatory. Return to original condition.","1. Gift Return option in My Orders 2. No receipt needed 3. Store credit if payment unknown",True
11,Final Sale No Return,"Clearance, final sale items. No returns or exchanges accepted.",0,0.00,"All sales final. No exceptions unless defective on arrival.","No returns accepted. Defective items contact support within 48hrs with photos.",False
