id,name,slug,category__name,description,price,original_price,stock,brand,sku,is_active,is_featured,meta_keywords,meta_description
1,ProMax Webcam HD Pro,promax-webcam-hd-pro,Electronics,High-quality ProMax Webcam HD Pro from ProMax. Perfect for everyday use with premium features. Available in multiple colors and sizes.,326.97,438.28,65,ProMax,ELE-PRO-00001,True,False,"ProMax Webcam HD Pro, Electronics, ProMax, affordable, quality",Buy ProMax Webcam HD Pro online. Premium quality product at best price. ProMax - trusted brand.
2,Organic Wireless Earbuds Max,organic-wireless-earbuds-max,Electronics,High-quality Organic Wireless Earbuds Max from Organic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,407.31,592.61,57,Organic,ELE-ORG-00002,False,False,"Organic Wireless Earbuds Max, Electronics, Organic, affordable, quality",Buy Organic Wireless Earbuds Max online. Premium quality product at best price. Organic - trusted brand.
3,tech Screen Protector Plus,tech-screen-protector-plus,Electronics,High-quality tech Screen Protector Plus from tech. Perfect for everyday use with premium features. Available in multiple colors and sizes.,422.29,473.34,88,tech,ELE-TEC-00003,True,False,"tech Screen Protector Plus, Electronics, tech, affordable, quality",Buy tech Screen Protector Plus online. Premium quality product at best price. tech - trusted brand.
4,ProMax Cable Organizer Plus,promax-cable-organizer-plus,Electronics,High-quality ProMax Cable Organizer Plus from ProMax. Perfect for everyday use with premium features. Available in multiple colors and sizes.,365.07,446.59,24,ProMax,ELE-PRO-00004,True,False,"ProMax Cable Organizer Plus, Electronics, ProMax, affordable, quality",Buy ProMax Cable Organizer Plus online. Premium quality product at best price. ProMax - trusted brand.
5,ProMax Mechanical Keyboard Max,promax-mechanical-keyboard-max,Electronics,High-quality ProMax Mechanical Keyboard Max from ProMax. Perfect for everyday use with premium features. Available in multiple colors and sizes.,237.87,287.46,11,ProMax,ELE-PRO-00005,True,False,"ProMax Mechanical Keyboard Max, Electronics, ProMax, affordable, quality",Buy ProMax Mechanical Keyboard Max online. Premium quality product at best price. ProMax - trusted brand.
6,luxury Mechanical Keyboard Max,luxury-mechanical-keyboard-max,Electronics,High-quality luxury Mechanical Keyboard Max from luxury. Perfect for everyday use with premium features. Available in multiple colors and sizes.,402.69,559.85,81,luxury,ELE-LUX-00006,True,True,"luxury Mechanical Keyboard Max, Electronics, luxury, affordable, quality",Buy luxury Mechanical Keyboard Max online. Premium quality product at best price. luxury - trusted brand.
7,Organic Laptop Stand Plus,organic-laptop-stand-plus,Electronics,High-quality Organic Laptop Stand Plus from Organic. Perfect for everyday use with premium features. Available in multiple colors and sizes.,454.13,515.09,27,Organic,ELE-ORG-00007,True,False,"Organic Laptop Stand Plus, Electronics, Organic, affordable, quality",Buy Organic Laptop Stand Plus online. Premium quality product at best price. Organic - trusted brand.
8,standard Monitor Pro,standard-monitor-pro,Electronics,High-quality standard Monitor Pro from standard. Perfect for everyday use with premium features. Available in multiple colors and sizes.,139.73,158.67,29,standard,ELE-STA-00008,False,False,"standard Monitor Pro, Electronics, standard, affordable, quality",Buy standard Monitor Pro online. Premium quality product at best price. standard - trusted brand.
9,comfort Smart Watch Lite,comfort-smart-watch-lite,Electronics,High-quality comfort Smart Watch Lite from comfort. Perfect for everyday use with premium features. Available in multiple colors and sizes.,330.54,365.61,70,comfort,ELE-COM-00009,False,False,"comfort Smart Watch Lite, Electronics, comfort, affordable, quality",Buy comfort Smart Watch Lite online. Premium quality product at best price. comfort - trusted brand.
10,value LED Desk Lamp Ultra,value-led-desk-lamp-ultra,Electronics,High-quality value LED Desk Lamp Ultra from value. Perfect for everyday use with premium features. Available in multiple colors and sizes.,193.61,216.95,73,value,ELE-VAL-00010,True,True,"value LED Desk Lamp Ultra, Electronics, value, affordable, quality",Buy value LED Desk Lamp Ultra online. Premium quality product at best price. value - trusted brand.
