id,name,slug,category__name,description,price,original_price,stock,image,image2,image3,brand,sku,is_active,is_featured,meta_keywords,meta_description
1,BrandX Laptop Stand,brandx-laptop-stand-1,Electronics,High-quality BrandX Laptop Stand. Perfect for everyday use with premium features.,326.97,438.28,65,products/electronics_001.jpg,products/electronics_001_2.jpg,products/electronics_001_3.jpg,BrandX,ELE-BRA-00001,True,False,"BrandX Laptop Stand, Electronics, BrandX, quality",Buy BrandX Laptop Stand online. Best price. BrandX trusted brand.
2,Ultra USB Cable Lite,ultra-usb-cable-lite-2,Electronics,High-quality Ultra USB Cable Lite. Perfect for everyday use with premium features.,493.8,689.43,45,products/electronics_002.jpg,products/electronics_002_2.jpg,products/electronics_002_3.jpg,Ultra,ELE-ULT-00002,False,False,"Ultra USB Cable Lite, Electronics, Ultra, quality",Buy Ultra USB Cable Lite online. Best price. Ultra trusted brand.
3,BrandX Smart Watch Max,brandx-smart-watch-max-3,Electronics,High-quality BrandX Smart Watch Max. Perfect for everyday use with premium features.,348.37,389.39,22,products/electronics_003.jpg,products/electronics_003_2.jpg,products/electronics_003_3.jpg,BrandX,ELE-BRA-00003,False,True,"BrandX Smart Watch Max, Electronics, BrandX, quality",Buy BrandX Smart Watch Max online. Best price. BrandX trusted brand.
4,Ultra Laptop Stand Standard,ultra-laptop-stand-standard-4,Electronics,High-quality Ultra Laptop Stand Standard. Perfect for everyday use with premium features.,484.12,569.12,86,products/electronics_004.jpg,products/electronics_004_2.jpg,products/electronics_004_3.jpg,Ultra,ELE-ULT-00004,True,False,"Ultra Laptop Stand Standard, Electronics, Ultra, quality",Buy Ultra Laptop Stand Standard online. Best price. Ultra trusted brand.
5,Elite Phone Case,elite-phone-case-5,Electronics,High-quality Elite Phone Case. Perfect for everyday use with premium features.,465.46,682.66,59,products/electronics_005.jpg,products/electronics_005_2.jpg,products/electronics_005_3.jpg,Elite,ELE-ELI-00005,True,False,"Elite Phone Case, Electronics, Elite, quality",Buy Elite Phone Case online. Best price. Elite trusted brand.
6,Classic Smart Watch Standard,classic-smart-watch-standard-6,Electronics,High-quality Classic Smart Watch Standard. Perfect for everyday use with premium features.,363.33,474.83,92,products/electronics_006.jpg,products/electronics_006_2.jpg,products/electronics_006_3.jpg,Classic,ELE-CLA-00006,True,True,"Classic Smart Watch Standard, Electronics, Classic, quality",Buy Classic Smart Watch Standard online. Best price. Classic trusted brand.
7,Classic Charger Premium,classic-charger-premium-7,Electronics,High-quality Classic Charger Premium. Perfect for everyday use with premium features.,63.17,89.34,19,products/electronics_007.jpg,products/electronics_007_2.jpg,products/electronics_007_3.jpg,Classic,ELE-CLA-00007,True,False,"Classic Charger Premium, Electronics, Classic, quality",Buy Classic Charger Premium online. Best price. Classic trusted brand.
8,ProMax Speaker,promax-speaker-8,Electronics,High-quality ProMax Speaker. Perfect for everyday use with premium features.,458.87,544.86,29,products/electronics_008.jpg,products/electronics_008_2.jpg,products/electronics_008_3.jpg,ProMax,ELE-PRO-00008,True,False,"ProMax Speaker, Electronics, ProMax, quality",Buy ProMax Speaker online. Best price. ProMax trusted brand.
9,Organic Speaker,organic-speaker-9,Electronics,High-quality Organic Speaker. Perfect for everyday use with premium features.,139.73,158.67,29,products/electronics_009.jpg,products/electronics_009_2.jpg,products/electronics_009_3.jpg,Organic,ELE-ORG-00009,False,True,"Organic Speaker, Electronics, Organic, quality",Buy Organic Speaker online. Best price. Organic trusted brand.
10,Natural Monitor Pro,natural-monitor-pro-10,Electronics,High-quality Natural Monitor Pro. Perfect for everyday use with premium features.,330.54,365.61,70,products/electronics_010.jpg,products/electronics_010_2.jpg,products/electronics_010_3.jpg,Natural,ELE-NAT-00010,True,False,"Natural Monitor Pro, Electronics, Natural, quality",Buy Natural Monitor Pro online. Best price. Natural trusted brand.
11,Modern Webcam Max,modern-webcam-max-11,Electronics,High-quality Modern Webcam Max. Perfect for everyday use with premium features.,297.19,367.01,39,products/electronics_011.jpg,products/electronics_011_2.jpg,products/electronics_011_3.jpg,Modern,ELE-MOD-00011,True,False,"Modern Webcam Max, Electronics, Modern, quality",Buy Modern Webcam Max online. Best price. Modern trusted brand.
12,Ultra USB Cable Max,ultra-usb-cable-max-12,Electronics,High-quality Ultra USB Cable Max. Perfect for everyday use with premium features.,360.16,516.64,70,products/electronics_012.jpg,products/electronics_012_2.jpg,products/electronics_012_3.jpg,Ultra,ELE-ULT-00012,True,True,"Ultra USB Cable Max, Electronics, Ultra, quality",Buy Ultra USB Cable Max online. Best price. Ultra trusted brand.
13,Premium Monitor Pro,premium-monitor-pro-13,Electronics,High-quality Premium Monitor Pro. Perfect for everyday use with premium features.,222.12,323.09,31,products/electronics_013.jpg,products/electronics_013_2.jpg,products/electronics_013_3.jpg,Premium,ELE-PRE-00013,False,False,"Premium Monitor Pro, Electronics, Premium, quality",Buy Premium Monitor Pro online. Best price. Premium trusted brand.
14,Classic Keyboard,classic-keyboard-14,Electronics,High-quality Classic Keyboard. Perfect for everyday use with premium features.,467.65,657.05,25,products/electronics_014.jpg,products/electronics_014_2.jpg,products/electronics_014_3.jpg,Classic,ELE-CLA-00014,False,False,"Classic Keyboard, Electronics, Classic, quality",Buy Classic Keyboard online. Best price. Classic trusted brand.
15,Classic Monitor Standard,classic-monitor-standard-15,Electronics,High-quality Classic Monitor Standard. Perfect for everyday use with premium features.,277.49,342.67,38,products/electronics_015.jpg,products/electronics_015_2.jpg,products/electronics_015_3.jpg,Classic,ELE-CLA-00015,False,False,"Classic Monitor Standard, Electronics, Classic, quality",Buy Classic Monitor Standard online. Best price. Classic trusted brand.
16,Modern Monitor,modern-monitor-16,Electronics,High-quality Modern Monitor. Perfect for everyday use with premium features.,15.8,20.59,71,products/electronics_016.jpg,products/electronics_016_2.jpg,products/electronics_016_3.jpg,Modern,ELE-MOD-00016,True,False,"Modern Monitor, Electronics, Modern, quality",Buy Modern Monitor online. Best price. Modern trusted brand.
17,Elite Charger,elite-charger-17,Electronics,High-quality Elite Charger. Perfect for everyday use with premium features.,190.26,265.96,43,products/electronics_017.jpg,products/electronics_017_2.jpg,products/electronics_017_3.jpg,Elite,ELE-ELI-00017,False,False,"Elite Charger, Electronics, Elite, quality",Buy Elite Charger online. Best price. Elite trusted brand.
18,Ultra Monitor Premium,ultra-monitor-premium-18,Electronics,High-quality Ultra Monitor Premium. Perfect for everyday use with premium features.,104.3,125.81,81,products/electronics_018.jpg,products/electronics_018_2.jpg,products/electronics_018_3.jpg,Ultra,ELE-ULT-00018,True,False,"Ultra Monitor Premium, Electronics, Ultra, quality",Buy Ultra Monitor Premium online. Best price. Ultra trusted brand.
19,Ultra Smart Watch,ultra-smart-watch-19,Electronics,High-quality Ultra Smart Watch. Perfect for everyday use with premium features.,369.62,485.46,41,products/electronics_019.jpg,products/electronics_019_2.jpg,products/electronics_019_3.jpg,Ultra,ELE-ULT-00019,True,False,"Ultra Smart Watch, Electronics, Ultra, quality",Buy Ultra Smart Watch online. Best price. Ultra trusted brand.
